-----------------------------------------------------------
Server,listening,on,5201
-----------------------------------------------------------
Accepted,connection,from,"10.45.0.14,",port,45822
[,5],local,10.45.0.1,port,5201,connected,to,10.45.0.14,port,45824
[,ID],Interval,Transfer,Bitrate
[,5],77.00-78.00,sec,916,KBytes,7.51,Mbits/sec
[,5],78.00-79.00,sec,966,KBytes,7.92,Mbits/sec
[,5],79.00-80.00,sec,995,KBytes,8.15,Mbits/sec
[,5],80.00-81.00,sec,1.11,MBytes,9.27,Mbits/sec
[,5],81.00-82.00,sec,1.08,MBytes,9.03,Mbits/sec
[,5],82.00-83.00,sec,985,KBytes,8.07,Mbits/sec
[,5],83.00-84.00,sec,666,KBytes,5.46,Mbits/sec
[,5],84.00-85.00,sec,789,KBytes,6.46,Mbits/sec
[,5],85.00-86.00,sec,856,KBytes,7.01,Mbits/sec
[,5],86.00-87.00,sec,844,KBytes,6.91,Mbits/sec
[,5],87.00-88.00,sec,621,KBytes,5.09,Mbits/sec
[,5],88.00-89.00,sec,570,KBytes,4.67,Mbits/sec
[,5],89.00-90.00,sec,628,KBytes,5.14,Mbits/sec
[,5],90.00-91.00,sec,636,KBytes,5.21,Mbits/sec
[,5],91.00-92.00,sec,602,KBytes,4.93,Mbits/sec
[,5],92.00-93.00,sec,710,KBytes,5.81,Mbits/sec
[,5],93.00-94.00,sec,663,KBytes,5.44,Mbits/sec
[,5],94.00-95.00,sec,624,KBytes,5.11,Mbits/sec
[,5],95.00-96.00,sec,644,KBytes,5.27,Mbits/sec
[,5],96.00-97.00,sec,721,KBytes,5.91,Mbits/sec
[,5],97.00-98.00,sec,779,KBytes,6.38,Mbits/sec
[,5],98.00-99.00,sec,687,KBytes,5.63,Mbits/sec
[,5],99.00-100.00,sec,682,KBytes,5.59,Mbits/sec
[,5],100.00-101.00,sec,878,KBytes,7.19,Mbits/sec
[,5],101.00-102.00,sec,879,KBytes,7.20,Mbits/sec
[,5],102.00-103.00,sec,977,KBytes,8.00,Mbits/sec
[,5],103.00-104.00,sec,783,KBytes,6.42,Mbits/sec
[,5],104.00-105.00,sec,675,KBytes,5.53,Mbits/sec
[,5],105.00-106.00,sec,660,KBytes,5.40,Mbits/sec
[,5],106.00-107.00,sec,706,KBytes,5.78,Mbits/sec
[,5],107.00-108.00,sec,845,KBytes,6.92,Mbits/sec
[,5],108.00-109.00,sec,928,KBytes,7.60,Mbits/sec
[,5],109.00-110.00,sec,919,KBytes,7.53,Mbits/sec
[,5],110.00-111.00,sec,764,KBytes,6.25,Mbits/sec
[,5],111.00-112.00,sec,929,KBytes,7.61,Mbits/sec
[,5],112.00-113.00,sec,764,KBytes,6.25,Mbits/sec
[,5],113.00-114.00,sec,698,KBytes,5.72,Mbits/sec
[,5],114.00-115.00,sec,702,KBytes,5.75,Mbits/sec
[,5],115.00-116.00,sec,662,KBytes,5.42,Mbits/sec
[,5],116.00-117.00,sec,641,KBytes,5.25,Mbits/sec
[,5],117.00-118.00,sec,691,KBytes,5.66,Mbits/sec
[,5],118.00-119.00,sec,644,KBytes,5.27,Mbits/sec
[,5],119.00-120.00,sec,821,KBytes,6.73,Mbits/sec
[,5],120.00-120.55,sec,496,KBytes,7.39,Mbits/sec
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
[,ID],Interval,Transfer,Bitrate
[,5],0.00-120.55,sec,104,MBytes,7.23,Mbits/sec,receiver
