-----------------------------------------------------------
Server,listening,on,5201
-----------------------------------------------------------
Accepted,connection,from,"10.45.0.14,",port,44760
[,5],local,10.45.0.1,port,5201,connected,to,10.45.0.14,port,44762
[,ID],Interval,Transfer,Bitrate
[,5],78.00-79.00,sec,1.22,MBytes,10.2,Mbits/sec
[,5],79.00-80.00,sec,962,KBytes,7.88,Mbits/sec
[,5],80.00-81.00,sec,745,KBytes,6.10,Mbits/sec
[,5],81.00-82.00,sec,723,KBytes,5.92,Mbits/sec
[,5],82.00-83.00,sec,1.20,MBytes,10.1,Mbits/sec
[,5],83.00-84.00,sec,1.33,MBytes,11.2,Mbits/sec
[,5],84.00-85.00,sec,1.24,MBytes,10.4,Mbits/sec
[,5],85.00-86.00,sec,915,KBytes,7.49,Mbits/sec
[,5],86.00-87.00,sec,1014,KBytes,8.30,Mbits/sec
[,5],87.00-88.00,sec,1007,KBytes,8.25,Mbits/sec
[,5],88.00-89.00,sec,995,KBytes,8.15,Mbits/sec
[,5],89.00-90.00,sec,953,KBytes,7.81,Mbits/sec
[,5],90.00-91.00,sec,1.04,MBytes,8.74,Mbits/sec
[,5],91.00-92.00,sec,1.01,MBytes,8.44,Mbits/sec
[,5],92.00-93.00,sec,1.07,MBytes,8.99,Mbits/sec
[,5],93.00-94.00,sec,1.07,MBytes,8.98,Mbits/sec
[,5],94.00-95.00,sec,904,KBytes,7.41,Mbits/sec
[,5],95.00-96.00,sec,1.08,MBytes,9.08,Mbits/sec
[,5],96.00-97.00,sec,1.08,MBytes,9.07,Mbits/sec
[,5],97.00-98.00,sec,1.25,MBytes,10.5,Mbits/sec
[,5],98.00-99.00,sec,1.12,MBytes,9.43,Mbits/sec
[,5],99.00-100.00,sec,1.16,MBytes,9.74,Mbits/sec
[,5],100.00-101.00,sec,1.23,MBytes,10.3,Mbits/sec
[,5],101.00-102.00,sec,1.37,MBytes,11.5,Mbits/sec
[,5],102.00-103.00,sec,1.05,MBytes,8.80,Mbits/sec
[,5],103.00-104.00,sec,1.19,MBytes,9.95,Mbits/sec
[,5],104.00-105.00,sec,862,KBytes,7.06,Mbits/sec
[,5],105.00-106.00,sec,970,KBytes,7.95,Mbits/sec
[,5],106.00-107.00,sec,995,KBytes,8.15,Mbits/sec
[,5],107.00-108.00,sec,910,KBytes,7.45,Mbits/sec
[,5],108.00-109.00,sec,1.10,MBytes,9.21,Mbits/sec
[,5],109.00-110.00,sec,1.28,MBytes,10.7,Mbits/sec
[,5],110.00-111.00,sec,1.06,MBytes,8.85,Mbits/sec
[,5],111.00-112.00,sec,978,KBytes,8.01,Mbits/sec
[,5],112.00-113.00,sec,786,KBytes,6.44,Mbits/sec
[,5],113.00-114.00,sec,1.14,MBytes,9.59,Mbits/sec
[,5],114.00-115.00,sec,974,KBytes,7.98,Mbits/sec
[,5],115.00-116.00,sec,748,KBytes,6.13,Mbits/sec
[,5],116.00-117.00,sec,695,KBytes,5.69,Mbits/sec
[,5],117.00-118.00,sec,717,KBytes,5.88,Mbits/sec
[,5],118.00-119.00,sec,582,KBytes,4.77,Mbits/sec
[,5],119.00-120.00,sec,715,KBytes,5.86,Mbits/sec
[,5],120.00-120.70,sec,516,KBytes,6.00,Mbits/sec
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
[,ID],Interval,Transfer,Bitrate
[,5],0.00-120.70,sec,99.6,MBytes,6.92,Mbits/sec,receiver
