Interval,Transfer,Bitrate,Retr,Cwnd
38102,connected,to,10.45.0.14,port
KBytes,7.27,Mbits/sec,0,81.6
MBytes,19.9,Mbits/sec,0,195
MBytes,33.6,Mbits/sec,0,376
MBytes,39.8,Mbits/sec,0,595
MBytes,43.0,Mbits/sec,0,837
MBytes,43.0,Mbits/sec,0,1.05
MBytes,41.9,Mbits/sec,0,1.29
MBytes,38.8,Mbits/sec,0,1.52
MBytes,38.8,Mbits/sec,0,1.75
MBytes,31.5,Mbits/sec,0,1.95
MBytes,32.5,Mbits/sec,0,2.14
MBytes,33.6,Mbits/sec,0,2.34
MBytes,18.9,Mbits/sec,0,2.46
MBytes,21.0,Mbits/sec,0,2.46
MBytes,26.2,Mbits/sec,0,2.46
MBytes,23.1,Mbits/sec,0,2.46
MBytes,22.0,Mbits/sec,0,2.46
MBytes,25.2,Mbits/sec,0,2.46
MBytes,25.2,Mbits/sec,0,2.46
MBytes,25.2,Mbits/sec,0,2.46
MBytes,25.2,Mbits/sec,0,2.46
MBytes,24.1,Mbits/sec,0,2.46
MBytes,23.1,Mbits/sec,0,2.46
MBytes,22.0,Mbits/sec,0,2.46
MBytes,24.1,Mbits/sec,0,2.46
MBytes,17.8,Mbits/sec,0,2.46
MBytes,21.0,Mbits/sec,0,2.46
MBytes,25.2,Mbits/sec,0,2.46
MBytes,21.0,Mbits/sec,0,2.46
MBytes,18.9,Mbits/sec,0,2.46
MBytes,19.9,Mbits/sec,0,2.46
MBytes,24.1,Mbits/sec,0,2.46
MBytes,23.1,Mbits/sec,0,2.46
MBytes,23.1,Mbits/sec,0,2.46
MBytes,25.2,Mbits/sec,0,2.46
MBytes,18.9,Mbits/sec,0,2.46
MBytes,22.0,Mbits/sec,0,2.46
MBytes,25.2,Mbits/sec,0,2.46
MBytes,17.8,Mbits/sec,0,2.46
MBytes,11.5,Mbits/sec,0,2.46
MBytes,9.44,Mbits/sec,0,2.46
MBytes,21.0,Mbits/sec,14,287
MBytes,9.44,Mbits/sec,111,1.20
Bytes,0.00,bits/sec,544,1014
KBytes,2.10,Mbits/sec,0,1022
MBytes,13.6,Mbits/sec,128,874
KBytes,1.05,Mbits/sec,0,887
KBytes,6.29,Mbits/sec,74,710
KBytes,2.10,Mbits/sec,0,620
MBytes,14.7,Mbits/sec,216,371
Bytes,0.00,bits/sec,0,371
KBytes,5.24,Mbits/sec,0,454
Bytes,0.00,bits/sec,0,454
Bytes,0.00,bits/sec,0,454
Bytes,0.00,bits/sec,0,454
Bytes,0.00,bits/sec,0,454
MBytes,8.39,Mbits/sec,161,365
Bytes,0.00,bits/sec,0,365
KBytes,3.15,Mbits/sec,0,398
Bytes,0.00,bits/sec,0,398
KBytes,3.15,Mbits/sec,0,429
KBytes,3.15,Mbits/sec,56,304
KBytes,3.15,Mbits/sec,0,304
Bytes,0.00,bits/sec,0,304
KBytes,3.15,Mbits/sec,0,345
KBytes,2.10,Mbits/sec,0,358
Bytes,0.00,bits/sec,0,358
KBytes,3.15,Mbits/sec,64,255
MBytes,28.3,Mbits/sec,0,280
MBytes,33.6,Mbits/sec,0,299
MBytes,38.8,Mbits/sec,0,308
MBytes,38.8,Mbits/sec,0,311
MBytes,38.8,Mbits/sec,0,311
MBytes,38.8,Mbits/sec,0,316
MBytes,38.8,Mbits/sec,0,326
MBytes,38.8,Mbits/sec,0,336
MBytes,39.8,Mbits/sec,0,348
MBytes,38.8,Mbits/sec,0,379
MBytes,38.8,Mbits/sec,0,428
MBytes,38.8,Mbits/sec,0,496
MBytes,38.8,Mbits/sec,0,584
MBytes,38.8,Mbits/sec,0,698
MBytes,38.8,Mbits/sec,0,839
MBytes,38.8,Mbits/sec,0,1006
MBytes,38.8,Mbits/sec,0,1.18
MBytes,38.8,Mbits/sec,0,1.41
MBytes,37.7,Mbits/sec,0,1.67
MBytes,38.8,Mbits/sec,0,1.97
MBytes,38.8,Mbits/sec,0,2.31
MBytes,38.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,39.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,39.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,39.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,39.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,39.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,39.8,Mbits/sec,0,2.59
MBytes,38.8,Mbits/sec,0,2.59
MBytes,26.2,Mbits/sec,1368,sender
MBytes,26.1,Mbits/sec,receiver,
