Interval,Transfer,Bitrate,Retr,Cwnd,,
33982,connected,to,10.45.0.14,port,,
KBytes,1.88,Mbits/sec,0,55.3,,
Bytes,0,bits/sec,2,1.32,,7.582909836
Bytes,0,bits/sec,0,1.32,,
KBytes,0.615,Kbits/sec,0,67.1,,
Bytes,0,bits/sec,0,67.1,,
Bytes,0,bits/sec,0,67.1,,
Bytes,0,bits/sec,0,67.1,,
Bytes,0,bits/sec,0,67.1,,
Bytes,0,bits/sec,0,67.1,,
MBytes,17.8,Mbits/sec,0,233,,
MBytes,28.3,Mbits/sec,0,391,,
MBytes,40.9,Mbits/sec,0,612,,
MBytes,43,Mbits/sec,0,852,,
MBytes,44,Mbits/sec,0,1.07,,
MBytes,40.9,Mbits/sec,0,1.3,,
MBytes,37.7,Mbits/sec,0,1.53,,
MBytes,39.8,Mbits/sec,0,1.77,,
MBytes,38.8,Mbits/sec,0,2,,
MBytes,38.8,Mbits/sec,0,2.23,,
MBytes,38.8,Mbits/sec,0,2.47,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,38.8,Mbits/sec,0,2.5,,
MBytes,38.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,38.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,38.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,38.8,Mbits/sec,0,2.5,,
KBytes,4.19,Mbits/sec,1,1.32,,
KBytes,7.34,Mbits/sec,0,2.5,,
MBytes,15.7,Mbits/sec,0,2.5,,
Bytes,0,bits/sec,0,2.5,,
Bytes,0,bits/sec,0,2.5,,
KBytes,5.24,Mbits/sec,251,440,,
KBytes,1.05,Mbits/sec,226,474,,
Bytes,0,bits/sec,0,474,,
Bytes,0,bits/sec,0,474,,
Bytes,0,bits/sec,0,474,,
Bytes,0,bits/sec,0,474,,
KBytes,6.29,Mbits/sec,463,542,,
Bytes,0,bits/sec,0,542,,
Bytes,0,bits/sec,0,542,,
Bytes,0,bits/sec,0,542,,
KBytes,3.15,Mbits/sec,334,975,,
Bytes,0,bits/sec,0,975,,
Bytes,0,bits/sec,0,975,,
Bytes,0,bits/sec,0,975,,
Bytes,0,bits/sec,0,975,,
Bytes,0,bits/sec,0,975,,
Bytes,0,bits/sec,0,975,,
Bytes,0,bits/sec,0,975,,
Bytes,0,bits/sec,0,975,,
Bytes,0,bits/sec,0,975,,
Bytes,0,bits/sec,0,975,,
Bytes,0,bits/sec,0,975,,
Bytes,0,bits/sec,0,975,,
Bytes,0,bits/sec,0,975,,
Bytes,0,bits/sec,1,1.32,,
MBytes,10.5,Mbits/sec,354,804,,
MBytes,8.39,Mbits/sec,421,804,,
Bytes,0,bits/sec,0,804,,
KBytes,1.05,Mbits/sec,0,804,,
Bytes,0,bits/sec,0,804,,
Bytes,0,bits/sec,0,804,,
Bytes,0,bits/sec,0,804,,
Bytes,0,bits/sec,0,804,,
Bytes,0,bits/sec,0,804,,
Bytes,0,bits/sec,0,804,,
Bytes,0,bits/sec,0,804,,
Bytes,0,bits/sec,0,804,,
Bytes,0,bits/sec,0,804,,
Bytes,0,bits/sec,0,804,,
Bytes,0,bits/sec,0,804,,
Bytes,0,bits/sec,0,804,,
Bytes,0,bits/sec,0,804,,
Bytes,0,bits/sec,0,804,,
MBytes,13.6,Mbits/sec,1,986,,
KBytes,4.19,Mbits/sec,123,789,,
MBytes,13.6,Mbits/sec,0,815,,
Bytes,0,bits/sec,0,815,,
Bytes,0,bits/sec,0,815,,
KBytes,3.15,Mbits/sec,354,466,,
KBytes,2.1,Mbits/sec,0,517,,
Bytes,0,bits/sec,0,575,,
MBytes,8.39,Mbits/sec,0,665,,
KBytes,5.24,Mbits/sec,0,707,,
Bytes,0,bits/sec,0,707,,
Bytes,0,bits/sec,0,707,,
Bytes,0,bits/sec,0,707,,
Bytes,0,bits/sec,0,707,,
Bytes,0,bits/sec,0,707,,
Bytes,0,bits/sec,0,707,,
Bytes,0,bits/sec,0,707,,
Bytes,0,bits/sec,0,707,,
Bytes,0,bits/sec,1,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,1,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
MBytes,7.65,Mbits/sec,2533,sender,,
Bytes,0,bits/sec,receiver,,,
