Interval,Transfer,Bitrate,Retr,Cwnd
43050,connected,to,10.45.0.14,port
MBytes,12.7,Mbits/sec,0,98.7
MBytes,35.6,Mbits/sec,0,292
MBytes,38.8,Mbits/sec,0,506
MBytes,43.0,Mbits/sec,0,746
MBytes,37.7,Mbits/sec,0,954
MBytes,15.7,Mbits/sec,147,732
MBytes,16.8,Mbits/sec,0,742
KBytes,4.19,Mbits/sec,0,800
Bytes,0.00,bits/sec,1,1.32
Bytes,0.00,bits/sec,0,1.32
Bytes,0.00,bits/sec,0,1.32
Bytes,0.00,bits/sec,1,1.32
KBytes,3.15,Mbits/sec,27,471
MBytes,8.39,Mbits/sec,262,599
KBytes,1.05,Mbits/sec,0,608
KBytes,4.19,Mbits/sec,0,685
Bytes,0.00,bits/sec,0,685
KBytes,5.24,Mbits/sec,112,554
Bytes,0.00,bits/sec,0,554
MBytes,8.39,Mbits/sec,0,554
KBytes,4.19,Mbits/sec,0,592
Bytes,0.00,bits/sec,0,592
Bytes,0.00,bits/sec,0,592
KBytes,4.19,Mbits/sec,123,457
MBytes,24.1,Mbits/sec,0,484
MBytes,30.4,Mbits/sec,0,519
MBytes,35.7,Mbits/sec,0,541
MBytes,39.8,Mbits/sec,0,552
MBytes,38.8,Mbits/sec,0,556
MBytes,38.8,Mbits/sec,0,556
MBytes,39.8,Mbits/sec,0,556
MBytes,38.8,Mbits/sec,0,559
MBytes,38.8,Mbits/sec,0,569
MBytes,39.8,Mbits/sec,0,587
MBytes,38.8,Mbits/sec,0,616
MBytes,39.8,Mbits/sec,0,662
MBytes,39.8,Mbits/sec,0,725
MBytes,37.7,Mbits/sec,0,810
MBytes,39.8,Mbits/sec,0,919
MBytes,39.8,Mbits/sec,0,1.03
MBytes,40.9,Mbits/sec,0,1.18
MBytes,38.8,Mbits/sec,0,1.37
MBytes,38.8,Mbits/sec,0,1.59
MBytes,37.7,Mbits/sec,0,1.85
MBytes,38.8,Mbits/sec,0,2.14
MBytes,39.8,Mbits/sec,0,2.48
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,39.8,Mbits/sec,0,2.58
MBytes,37.7,Mbits/sec,0,2.58
MBytes,39.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,39.8,Mbits/sec,0,2.58
MBytes,37.7,Mbits/sec,0,2.58
MBytes,39.8,Mbits/sec,0,2.58
MBytes,37.7,Mbits/sec,0,2.58
MBytes,39.8,Mbits/sec,0,2.58
MBytes,37.7,Mbits/sec,0,2.58
MBytes,39.8,Mbits/sec,0,2.58
MBytes,37.7,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,39.8,Mbits/sec,0,2.58
MBytes,37.7,Mbits/sec,0,2.58
MBytes,39.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,37.7,Mbits/sec,0,2.58
MBytes,39.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,39.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,39.8,Mbits/sec,0,2.58
MBytes,37.7,Mbits/sec,0,2.58
MBytes,39.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,39.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,37.7,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,38.8,Mbits/sec,0,2.58
MBytes,33.0,Mbits/sec,673,sender
MBytes,32.8,Mbits/sec,receiver,
