Interval,Transfer,Bitrate,Retr,Cwnd,,
57580,connected,to,10.45.0.14,port,,
KBytes,1.85,Mbits/sec,1,55.3,,
Bytes,0,bits/sec,0,55.3,,0.995491803
Bytes,0,bits/sec,1,1.32,,
Bytes,0,bits/sec,0,1.32,,
KBytes,1.05,Mbits/sec,0,72.4,,
Bytes,0,bits/sec,0,72.4,,
KBytes,1.05,Mbits/sec,0,108,,
Bytes,0,bits/sec,0,108,,
Bytes,0,bits/sec,0,108,,
Bytes,0,bits/sec,0,108,,
Bytes,0,bits/sec,0,108,,
Bytes,0,bits/sec,0,108,,
KBytes,2.1,Mbits/sec,0,161,,
Bytes,0,bits/sec,0,161,,
KBytes,2.1,Mbits/sec,0,247,,
MBytes,12.6,Mbits/sec,0,631,,
KBytes,5.24,Mbits/sec,0,865,,
MBytes,14.7,Mbits/sec,0,1.27,,
Bytes,0,bits/sec,0,1.27,,
Bytes,0,bits/sec,0,1.27,,
KBytes,3.15,Mbits/sec,415,534,,
Bytes,0,bits/sec,0,534,,
Bytes,0,bits/sec,0,534,,
KBytes,2.1,Mbits/sec,148,546,,
KBytes,1.05,Mbits/sec,39,571,,
Bytes,0,bits/sec,0,571,,
Bytes,0,bits/sec,0,571,,
Bytes,0,bits/sec,0,571,,
Bytes,0,bits/sec,101,625,,
Bytes,0,bits/sec,0,625,,
Bytes,0,bits/sec,0,625,,
Bytes,0,bits/sec,0,625,,
Bytes,0,bits/sec,0,625,,
Bytes,0,bits/sec,0,625,,
Bytes,0,bits/sec,0,625,,
Bytes,0,bits/sec,0,625,,
Bytes,0,bits/sec,0,625,,
Bytes,0,bits/sec,0,625,,
Bytes,0,bits/sec,0,625,,
Bytes,0,bits/sec,0,625,,
Bytes,0,bits/sec,0,625,,
Bytes,0,bits/sec,0,625,,
Bytes,0,bits/sec,0,625,,
Bytes,0,bits/sec,0,625,,
Bytes,0,bits/sec,0,625,,
KBytes,5.24,Mbits/sec,17,628,,
MBytes,9.44,Mbits/sec,0,840,,
Bytes,0,bits/sec,0,840,,
Bytes,0,bits/sec,0,840,,
KBytes,7.34,Mbits/sec,0,881,,
KBytes,1.05,Mbits/sec,0,893,,
KBytes,1.05,Mbits/sec,0,899,,
Bytes,0,bits/sec,0,899,,
Bytes,0,bits/sec,0,899,,
Bytes,0,bits/sec,0,899,,
Bytes,0,bits/sec,0,899,,
MBytes,8.39,Mbits/sec,0,1.33,,
KBytes,2.1,Mbits/sec,0,1.34,,
KBytes,3.15,Mbits/sec,432,692,,
Bytes,0,bits/sec,0,692,,
Bytes,0,bits/sec,0,692,,
Bytes,0,bits/sec,0,692,,
Bytes,0,bits/sec,0,692,,
Bytes,0,bits/sec,0,692,,
Bytes,0,bits/sec,0,692,,
Bytes,0,bits/sec,0,692,,
KBytes,1.05,Mbits/sec,218,262,,
KBytes,2.1,Mbits/sec,224,524,,
Bytes,0,bits/sec,0,524,,
Bytes,0,bits/sec,0,524,,
Bytes,0,bits/sec,0,524,,
Bytes,0,bits/sec,0,524,,
Bytes,0,bits/sec,0,524,,
Bytes,0,bits/sec,0,524,,
Bytes,0,bits/sec,0,524,,
Bytes,0,bits/sec,0,524,,
Bytes,0,bits/sec,1,1.32,,
MBytes,14.7,Mbits/sec,275,894,,
Bytes,0,bits/sec,0,894,,
Bytes,0,bits/sec,0,894,,
Bytes,0,bits/sec,0,894,,
Bytes,0,bits/sec,0,894,,
Bytes,0,bits/sec,0,894,,
Bytes,0,bits/sec,0,894,,
Bytes,0,bits/sec,0,894,,
Bytes,0,bits/sec,0,894,,
Bytes,0,bits/sec,0,894,,
Bytes,0,bits/sec,0,894,,
Bytes,0,bits/sec,0,894,,
Bytes,0,bits/sec,0,894,,
Bytes,0,bits/sec,0,894,,
Bytes,0,bits/sec,0,894,,
Bytes,0,bits/sec,0,894,,
MBytes,14.7,Mbits/sec,129,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,0,902,,
Bytes,0,bits/sec,1,1.32,,
KBytes,3.15,Mbits/sec,133,631,,
Bytes,0,bits/sec,0,631,,
Bytes,0,bits/sec,0,631,,
Bytes,0,bits/sec,0,631,,
MBytes,1,Mbits/sec,2135,sender,,
Bytes,0,bits/sec,receiver,,,
