Interval,Transfer,Bitrate,Retr,Cwnd,,
57610,connected,to,10.45.0.14,port,,
KBytes,8.31,Mbits/sec,0,90.8,,
MBytes,24.1,Mbits/sec,0,221,,34.195
MBytes,34.6,Mbits/sec,0,412,,
MBytes,39.8,Mbits/sec,0,635,,
MBytes,43,Mbits/sec,0,870,,
MBytes,43,Mbits/sec,0,1.08,,
MBytes,39.8,Mbits/sec,0,1.31,,
MBytes,38.8,Mbits/sec,0,1.54,,
MBytes,39.8,Mbits/sec,0,1.78,,
MBytes,37.8,Mbits/sec,0,2.01,,
MBytes,39.8,Mbits/sec,0,2.25,,
MBytes,37.7,Mbits/sec,0,2.48,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,37.7,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,35.7,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,37.7,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,37.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,37.7,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,37.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,37.7,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,37.7,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,40.9,Mbits/sec,0,2.51,,
MBytes,37.8,Mbits/sec,0,2.51,,
MBytes,37.7,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,37.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,36.7,Mbits/sec,0,2.51,,
MBytes,40.9,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,37.7,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,36.7,Mbits/sec,0,2.51,,
MBytes,40.9,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,40.9,Mbits/sec,0,2.51,,
MBytes,37.7,Mbits/sec,0,2.51,,
MBytes,40.9,Mbits/sec,0,2.51,,
MBytes,38.8,Mbits/sec,0,2.51,,
MBytes,39.8,Mbits/sec,0,2.51,,
MBytes,17.8,Mbits/sec,0,2.51,,
MBytes,10.5,Mbits/sec,0,2.51,,
KBytes,2.1,Mbits/sec,0,2.51,,
MBytes,14.7,Mbits/sec,0,2.51,,
MBytes,11.5,Mbits/sec,581,1.25,,
KBytes,1.05,Mbits/sec,69,1.17,,
KBytes,5.24,Mbits/sec,133,912,,
KBytes,1.05,Mbits/sec,113,912,,
Bytes,0,bits/sec,0,924,,
Bytes,0,bits/sec,0,924,,
MBytes,12.6,Mbits/sec,0,1.77,,
Bytes,0,bits/sec,0,1.77,,
KBytes,2.1,Mbits/sec,451,667,,
KBytes,7.34,Mbits/sec,422,774,,
Bytes,0,bits/sec,0,829,,
