Interval,Transfer,Bitrate,Retr,Cwnd,,
39170,connected,to,10.45.0.14,port,,
KBytes,1.24,Mbits/sec,2,1.32,,
Bytes,0,bits/sec,1,1.32,,5.527704918
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,1,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,1,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
MBytes,38.5,Mbits/sec,0,1.13,,
MBytes,39.8,Mbits/sec,0,1.56,,
MBytes,38.8,Mbits/sec,0,1.79,,
MBytes,38.8,Mbits/sec,0,2.02,,
MBytes,38.8,Mbits/sec,0,2.26,,
MBytes,38.8,Mbits/sec,0,2.49,,
MBytes,38.8,Mbits/sec,0,2.5,,
MBytes,38.8,Mbits/sec,0,2.5,,
MBytes,38.8,Mbits/sec,0,2.5,,
MBytes,38.8,Mbits/sec,0,2.5,,
MBytes,32.5,Mbits/sec,0,2.5,,
MBytes,8.39,Mbits/sec,0,2.5,,
Bytes,0,bits/sec,0,2.5,,
MBytes,16.8,Mbits/sec,0,2.5,,
MBytes,11.5,Mbits/sec,637,1.18,,
Bytes,0,bits/sec,0,1.18,,
KBytes,5.24,Mbits/sec,12,1.16,,
Bytes,0,bits/sec,0,1.16,,
Bytes,0,bits/sec,0,1.16,,
Bytes,0,bits/sec,0,1.16,,
Bytes,0,bits/sec,0,1.16,,
Bytes,0,bits/sec,1,1.32,,
KBytes,2.1,Mbits/sec,387,711,,
Bytes,0,bits/sec,0,711,,
Bytes,0,bits/sec,0,711,,
Bytes,0,bits/sec,0,711,,
MBytes,12.6,Mbits/sec,39,529,,
Bytes,0,bits/sec,0,529,,
Bytes,0,bits/sec,0,529,,
Bytes,0,bits/sec,0,529,,
Bytes,0,bits/sec,0,529,,
Bytes,0,bits/sec,0,529,,
Bytes,0,bits/sec,0,529,,
Bytes,0,bits/sec,0,529,,
Bytes,0,bits/sec,0,529,,
Bytes,0,bits/sec,0,529,,
Bytes,0,bits/sec,0,529,,
Bytes,0,bits/sec,0,529,,
Bytes,0,bits/sec,0,529,,
Bytes,0,bits/sec,1,1.32,,
MBytes,12.6,Mbits/sec,149,570,,
MBytes,34.6,Mbits/sec,0,785,,
MBytes,37.7,Mbits/sec,0,1015,,
MBytes,38.8,Mbits/sec,0,1.23,,
MBytes,26.2,Mbits/sec,0,1.39,,
MBytes,19.9,Mbits/sec,0,1.51,,
KBytes,7.34,Mbits/sec,0,1.56,,
MBytes,12.6,Mbits/sec,0,1.63,,
Bytes,0,bits/sec,0,1.63,,
Bytes,0,bits/sec,0,1.63,,
Bytes,0,bits/sec,0,1.63,,
Bytes,0,bits/sec,0,1.63,,
Bytes,0,bits/sec,0,1.63,,
Bytes,0,bits/sec,0,1.63,,
Bytes,0,bits/sec,1,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,1,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,1,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
MBytes,5.57,Mbits/sec,1234,sender,,
Bytes,0,bits/sec,receiver,,,
