Interval,Transfer,Bitrate,Retr,Cwnd
35736,connected,to,10.45.0.14,port
KBytes,7.14,Mbits/sec,0,67.1
MBytes,13.6,Mbits/sec,0,141
MBytes,32.5,Mbits/sec,0,319
MBytes,38.8,Mbits/sec,0,531
MBytes,44.0,Mbits/sec,0,778
KBytes,2.10,Mbits/sec,116,1.32
Bytes,0.00,bits/sec,1,1.32
Bytes,0.00,bits/sec,0,1.32
Bytes,0.00,bits/sec,1,1.32
Bytes,0.00,bits/sec,0,1.32
Bytes,0.00,bits/sec,0,1.32
KBytes,2.10,Mbits/sec,335,282
Bytes,0.00,bits/sec,40,308
Bytes,0.00,bits/sec,0,308
Bytes,0.00,bits/sec,0,308
Bytes,0.00,bits/sec,0,308
Bytes,0.00,bits/sec,0,308
Bytes,0.00,bits/sec,0,308
KBytes,2.10,Mbits/sec,1,570
KBytes,1.05,Mbits/sec,0,570
Bytes,0.00,bits/sec,0,570
Bytes,0.00,bits/sec,0,570
Bytes,0.00,bits/sec,0,570
Bytes,0.00,bits/sec,0,570
Bytes,0.00,bits/sec,0,570
Bytes,0.00,bits/sec,0,570
Bytes,0.00,bits/sec,0,570
MBytes,22.0,Mbits/sec,41,170
KBytes,1.05,Mbits/sec,0,178
KBytes,2.10,Mbits/sec,0,190
KBytes,2.10,Mbits/sec,0,204
Bytes,0.00,bits/sec,0,204
Bytes,0.00,bits/sec,0,204
Bytes,0.00,bits/sec,0,204
Bytes,0.00,bits/sec,1,1.32
KBytes,3.15,Mbits/sec,0,242
KBytes,1.05,Mbits/sec,0,245
Bytes,0.00,bits/sec,0,245
Bytes,0.00,bits/sec,0,245
Bytes,0.00,bits/sec,0,245
Bytes,0.00,bits/sec,0,245
Bytes,0.00,bits/sec,0,245
Bytes,0.00,bits/sec,1,1.32
Bytes,0.00,bits/sec,0,1.32
Bytes,0.00,bits/sec,0,1.32
Bytes,0.00,bits/sec,0,1.32
Bytes,0.00,bits/sec,0,1.32
Bytes,0.00,bits/sec,0,1.32
Bytes,0.00,bits/sec,0,1.32
Bytes,0.00,bits/sec,0,1.32
KBytes,1.05,Mbits/sec,2,325
Bytes,0.00,bits/sec,0,321
Bytes,0.00,bits/sec,0,321
Bytes,0.00,bits/sec,0,305
KBytes,4.19,Mbits/sec,0,259
Bytes,0.00,bits/sec,0,259
Bytes,0.00,bits/sec,0,259
Bytes,0.00,bits/sec,0,259
Bytes,0.00,bits/sec,0,259
Bytes,0.00,bits/sec,0,259
MBytes,9.44,Mbits/sec,0,391
MBytes,39.8,Mbits/sec,0,391
MBytes,40.9,Mbits/sec,0,391
MBytes,37.8,Mbits/sec,0,398
MBytes,39.8,Mbits/sec,0,429
MBytes,38.8,Mbits/sec,0,474
MBytes,40.9,Mbits/sec,0,540
MBytes,38.8,Mbits/sec,0,624
MBytes,39.8,Mbits/sec,0,733
MBytes,40.9,Mbits/sec,0,871
MBytes,41.9,Mbits/sec,0,1.01
MBytes,43.0,Mbits/sec,0,1.20
MBytes,38.8,Mbits/sec,0,1.42
MBytes,38.8,Mbits/sec,0,1.67
MBytes,30.4,Mbits/sec,0,1.93
MBytes,29.4,Mbits/sec,0,2.27
MBytes,34.6,Mbits/sec,0,2.50
MBytes,39.8,Mbits/sec,0,2.50
MBytes,39.8,Mbits/sec,0,2.50
MBytes,38.8,Mbits/sec,0,2.50
MBytes,39.8,Mbits/sec,0,2.50
MBytes,38.8,Mbits/sec,0,2.50
MBytes,40.9,Mbits/sec,0,2.50
MBytes,38.8,Mbits/sec,0,2.50
MBytes,38.8,Mbits/sec,0,2.50
MBytes,23.1,Mbits/sec,0,2.50
MBytes,10.5,Mbits/sec,0,2.50
Bytes,0.00,bits/sec,0,2.50
KBytes,7.34,Mbits/sec,1,2.50
MBytes,9.44,Mbits/sec,0,2.50
Bytes,0.00,bits/sec,0,2.50
Bytes,0.00,bits/sec,0,2.50
Bytes,0.00,bits/sec,0,2.50
Bytes,0.00,bits/sec,0,2.50
Bytes,0.00,bits/sec,0,2.50
MBytes,10.5,Mbits/sec,795,936
Bytes,0.00,bits/sec,0,936
Bytes,0.00,bits/sec,0,936
KBytes,7.34,Mbits/sec,172,937
KBytes,2.10,Mbits/sec,0,944
MBytes,8.39,Mbits/sec,104,424
Bytes,0.00,bits/sec,0,424
Bytes,0.00,bits/sec,0,424
Bytes,0.00,bits/sec,0,424
KBytes,3.15,Mbits/sec,451,115
KBytes,1.05,Mbits/sec,62,149
KBytes,1.05,Mbits/sec,77,183
KBytes,7.34,Mbits/sec,9,279
Bytes,0.00,bits/sec,0,279
Bytes,0.00,bits/sec,0,279
Bytes,0.00,bits/sec,0,279
Bytes,0.00,bits/sec,0,279
Bytes,0.00,bits/sec,0,279
Bytes,0.00,bits/sec,0,279
MBytes,17.8,Mbits/sec,14,396
MBytes,37.7,Mbits/sec,0,632
MBytes,38.8,Mbits/sec,0,870
MBytes,38.8,Mbits/sec,0,1.08
MBytes,38.8,Mbits/sec,0,1.31
