Interval,Transfer,Bitrate,Retr,Cwnd,,
55468,connected,to,10.45.0.14,port,,
KBytes,3.46,Mbits/sec,0,46.1,,
MBytes,21.2,Mbits/sec,0,163,,35.90294118
MBytes,34.6,Mbits/sec,0,354,,
MBytes,39.8,Mbits/sec,0,574,,
MBytes,44,Mbits/sec,0,820,,
MBytes,43,Mbits/sec,0,1.03,,
MBytes,43,Mbits/sec,0,1.27,,
MBytes,38.8,Mbits/sec,0,1.51,,
MBytes,39.8,Mbits/sec,0,1.75,,
MBytes,39.8,Mbits/sec,0,1.98,,
MBytes,39.8,Mbits/sec,0,2.22,,
MBytes,39.8,Mbits/sec,0,2.46,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,40.9,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,38.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,38.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,38.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,38.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,38.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,38.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,38.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,37.7,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,36.7,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,38.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,37.7,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,37.8,Mbits/sec,0,2.5,,
MBytes,40.9,Mbits/sec,0,2.5,,
MBytes,38.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,37.7,Mbits/sec,0,2.5,,
MBytes,40.9,Mbits/sec,0,2.5,,
MBytes,38.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
MBytes,38.8,Mbits/sec,0,2.5,,
MBytes,39.8,Mbits/sec,0,2.5,,
